Policy Number,Year,IDV,City,State,Claim,Cubic Capacity,Mfr-Model,Premium
3215858,2010,745688,KOLKATTA,WEST BENGAL,118089,1500,Honda City,22305
3216152,2011,791024,GURGAON,HARYANA,41085,1500,Honda City,23261
3219921,2007,919885,NEWDELHI,NCR,86740,2400,Honda Accord,25704
3227764,2010,681368,NEWDELHI,NCR,9144,2000,Mitsubishi Cedia,18079
3228466,2008,546204,GURGAON,HARYANA,118928,1500,Honda City,15379
3235849,2010,640340,BANGALORE,Karnataka,162095,1500,Honda City,18302
3239016,2005,338349,JALANDHAR,PUNJAB,5051,1500,Honda City,8732
3240506,2011,651393,NOIDA,NCR,52024,1500,Honda City,18362
3241217,2007,418195,LUDHIANA,PUNJAB,61235,1500,Honda City,12235
3242314,2010,603246,CHENNAI,TAMILNADU,66655,1500,Honda City,17768
3245109,2010,689456,NEWDELHI,NCR,24275,1500,Honda City,19853
3249241,2010,1472943,BANGALORE,Karnataka,119014,2400,Honda Accord,41345
3251856,2007,386948,KOLKATTA,WEST BENGAL,42639,1500,Honda City,11548
3252495,2010,694433,NOIDA,NCR,94318,1500,Honda City,17959
3255945,2011,821232,INDORE,MADHYAPRADESH,30249,1500,Honda City,22281
3257214,2010,715508,NEWDELHI,NCR,207885,1500,Honda City,21053
3257445,2010,736813,NOIDA,NCR,117920,1500,Honda City,19553
3258012,2007,430859,CHENNAI,TAMILNADU,61877,1500,Honda City,12895
3260580,2006,322602,GURGAON,HARYANA,59772,1500,Honda City,8515
3263187,2011,666169,LUDHIANA,PUNJAB,125562,1500,Honda City,17470
3264290,2011,738654,CHENNAI,TAMILNADU,81280,1500,Honda City,19904
3265594,2010,683420,NEWDELHI,NCR,23481,2000,Mitsubishi Cedia,20075
3270994,2007,389179,NOIDA,NCR,47038,1500,Honda City,11453
3271031,2008,1152263,GURGAON,HARYANA,104892,2400,Honda Accord,33524
3271705,2006,812607,CHENNAI,TAMILNADU,73420,2400,Honda Accord,21421
3271803,2010,646607,JALANDHAR,PUNJAB,146572,1500,Honda City,18178
3275237,2006,377888,NEWDELHI,NCR,36365,1500,Honda City,11028
3278780,2011,665853,NOIDA,NCR,93035,1500,Honda City,17378
3278837,2010,612271,GURGAON,HARYANA,30934,1500,Honda City,15997
3284399,2005,343590,VARANASI,UTTAR PRADESH,9544,2000,Mitsubishi Cedia,9289
3287791,2006,373069,KOLHAPUR,Maharashtra,7196,1500,Honda City,9580
3288961,2009,618153,GURGAON,HARYANA,55462,1500,Honda City,17147
3290019,2010,675423,JALANDHAR,PUNJAB,99750,1500,Honda City,18929
3293723,2010,748711,NEWDELHI,NCR,235179,1500,Honda City,22349
3296732,2009,510000,CHENNAI,TAMILNADU,57754,1500,Honda City,13308
3298915,2011,812081,BANGALORE,Karnataka,47444,1500,Honda City,22304
